Date nuforc,Time norc,City2,county norc,occupation,Summary
2/3/2023,20:38,Barnstable,Devon,,3 circles lit up in dark sky. NUFORC Note: Jupiter and Venus
27/2/2023,07:30,Hitchin,Hertfordshire,,Orbish type shape with smaller Orb under
26/2/2023,21:43,Newbury,Berkshire,,"Witnessed two lights, travelling from west to east, not in a straight line, changing formation"
25/2/2023,21:30,Faringdon,Oxfordshire,,5 glowing orange orbs in convy 2 at front 2 next to each other one of which was going up and down very fast
23/2/2023,18:30,Liverpool,Merseyside,,A very small circle solid object with a triangle of green lights around it
19/2/2023,19:35,Liverpool,Merseyside,,Two objects in sky moving north one disappeared the carried on till out of sight.
19/2/2023,19:30,Ipswixh,,,2 bright lights seen diagonally from one another over the horizon. NUFORC Note: Jupiter and Venus
16/2/2023,23:33,BrightonandHove,,,Unidentified object stopping and moving at speed
13/2/2023,20:20,Banbridge,Co Down,,V shaped white lights in clear sky moving in unison.
11/2/2023,04:00,Manchester,Greater Manchester,,White warm coloured light
6/2/2023,18:59,Gravesend,Kent,,A fast object going back and forth then disappears out of the blue.
5/2/2023,21:20,Cumbria,,,"Photographing the full moon , clear night , object flew past diagonally across the moon as I was taking some photos."
5/2/2023,04:00,NrStornowayLatitude:58.209435Longitude:-6.384869,,,4 red lights taking diamond formation flashing alternately vertical to horizontal
1/2/2023,17:00,Warwick,Warwickshire,,Saw a pulsating light go across the sky ducking and divong behind trees
29/1/2023,20:30,West Bromwich,West Midlands,,"Large triangular very low hovering aircrafts just above and slightly to right of my car, with multiple coloured lights underneath"
28/1/2023,10:32,Warrington,Cheshire,,Bright shimmering red light hovering looks like it was coming towards us.
24/1/2023,18:30,Hartlepool,Cleveland,,3 bright crafts all circling each other then seperated into a triangle before going seperate ways
20/1/2023,18:10,,,,4 lights in a trapezoid shape turning to 3
20/1/2023,07:25,,,,Bright light that disappeared
19/1/2023,21:47,Horsham,West Sussex,,At first glance I thought it was a B2 bomber
19/1/2023,00:40,swanscombe,,,It had a cylinder top and was round at the bottom
17/1/2023,21:15,Ashington,Northumberland,,Star sized object travelling fast and turning 180 and accelerating rapidly
6/1/2023,02:00,Harlech,,,Many many bright lights travelling East to West over Irish sea
30/12/2022,23:30,PeasePottage,,,I saw what i saw And it was nothing i ever seen it before And i spend most of my life outdoors
26/12/2022,23:10,Barnsley,South Yorkshire,,Flying spinning disc flew over our car
25/12/2022,21:54,Swindon,Wiltshire,,"Big light (perhaps square) very unusual colour, VERY fast"
25/12/2022,18:15,Stowmarket,Suffolk,,Triangular multicoloured pulsating lights
24/12/2022,21:00,Liverpool,Merseyside,,"I witnessed 6 orange orbs flying in slow formation quite high, they then picked up speed and vanished from view."
24/12/2022,01:15,Newry,,,Flashing unknown object in the sky
21/12/2022,17:40,Didcot,Oxfordshire,,"Low cloud, 5 lights circling in the distance, then 5 lights directly over my car"
15/12/2022,21:18,Birmingham,West Midlands,,"The UFOS was like very very brite and when they went, they went like a dash."
13/12/2022,18:54,Bolton,Greater Manchester,,Large bright pulsating circular object appeared in the sky out of nowhere
11/12/2022,20:30,Orkney,,,I NOTICED A BLUE AND RED SHAPE FLASHING AND MOVING FROM SIDE TO SIDE.
7/12/2022,01:14,Hathersage,Derbyshire,,"3 together , then 2 went . Jumping all over sky multicoloured lights"
6/12/2022,06:45,Tregaron,,,8 lights moving erratically
3/12/2022,21:48,Buckingham,Buckinghamshire,,Walking the dog if you zoom in its pulsing
30/11/2022,17:42,Portslade,Sussex,,Puslating/ moving/ lights/ shooting into space
24/11/2022,20:22,London,Greater London,,I saw a craft shaped like a bumerang with bright lights all over the sides of it
22/11/2022,18:19,Huthwaite,,,Shooting lights
18/11/2022,22:46,Morpeth,Northumberiand,,Bright triangle craft
16/11/2022,18:04,Llandudno,Clwyd,,"Criss cross, very fast then gone"
12/11/2022,03:30,Morpeth,Northumberiand,,Alien contact
11/11/2022,20:05,Hemel Hempstead,Hertfordshire,,Very bright white orb
8/11/2022,20:20,Thornton Heath,Surrey,,"I was driving towards home, I looked up to see the full moon, spotted a large cylinder passing through the clouds overhead."
6/11/2022,15:30,Colne,,,Floating potato/oval
1/11/2022,11:27,ALNESS,Ross-shire,,IT WAS HALF OF IT IN THE PICTHER THAT I GOT THERE WAS SPARKS CUMMING FROM THE TOP
31/10/2022,02:13,Colchester,Essex,,Me and 2 other friends were roaming around our campus at the University of Campus when both of us spotted a blue light just race across
29/10/2022,20:05,Sheffield,South Yorkshire,,Three videos taken during the time of low cloud and a discus type shape moving quickly
28/10/2022,02:30,Shrewsbury,Shropshire,,Slow Moving Black Triangle Over Fields
27/10/2022,18:45,Southampton,Hampshire,,Saw a large bright ship hovering above a house and by trees
27/10/2022,17:41,Gainsborough,Lincolnshire,,Black smoke object then bright flashing light with orange and red lights
24/10/2022,23:50,Leamington Spa,Warwickshire,,"Orange fireball travelling from South to North at speed, no sound"
24/10/2022,09:40,Dartford,Kent,,Rotating and flipping objects in the sky.
23/10/2022,21:44,Canterbury,Kent,,Circle red colour
18/10/2022,15:30,London,Greater London,,very bright light coming and going and shifting shape
17/10/2022,22:30,Welwyngardencoty,,,"Looked like a star drop then fly across the sky and now it’s just sitting there, looks like a star but it’s too close and too muchlight"
17/10/2022,19:39,STOKE-ON-TRENT,Staffordshire,,The other night me and other cadets heard a humming sound we didn't know where it was coming from so we looked up in the sky and we dot
15/10/2022,22:35,Leeds,West Yorkshire,,"Sphere like UAP, bright in light. Distance unknown"
15/10/2022,01:36,Chichester,Hampshire,,Small light low down only for a few seconds and then just flew of very fast going up
14/10/2022,22:17,Scotland,,,No sound
12/10/2022,19:00,Woolacombe,,,Been hounded for 3 days out in my camper
11/10/2022,19:00,Portsmouth,Hampshire,,"Three ""fireballs"" travelling in line and equidistant. First fireball stopped, turned around, receded to tiny white light."
11/10/2022,06:00,Lawford,,,"I saw a translucent, glowing, flower shaped object, floating about 100 yards. above the ground in a field."
9/10/2022,13:34,Norwich,Norfolk,,White looking disk appearing and disappearing
9/10/2022,01:48,Farnham,Surrey,,"Large circular object, which appeared to be moving very slowly."
5/10/2022,04:00,Northcave,,,"Green light, object darting from what a normal aircraft would do."
27/9/2022,00:02,,,,Drawing On Door Frame
25/9/2022,02:47,Salford,Greater Manchester,,Seen lights
20/9/2022,13:00,Leicester,Leicestershire,,3 objects flying in formation
18/9/2022,23:30,Blackpool,Lancashire,,Triangular lights
18/9/2022,20:58,London,Greater London,,I was standing in my balcony and say one light yellow like fire ball that’s moving then disappeared and appeared 2 and vanished
18/9/2022,02:46,Swansea,Glamorgan,,Small light then disappeared
17/9/2022,16:50,Frome,Somerset,,It was very high in the sky and the sky was clear.
14/9/2022,14:00,Barrow-in-Furness,Cumbria,,Walking back from Walney Island nature reserve i noticed a flash above the B.A.E.building which was too distant to see objects
13/9/2022,21:05,Manchester,Greater Manchester,,Fast to slow moving
13/9/2022,19:10,Manchester,Greater Manchester,,I was looking up at an aircraft high up in the atmosphere flying along leaving a vapour trail.
12/9/2022,15:30,IsleofMull,,,Unexplained fling object in sky.
9/9/2022,19:05,plymouth,Devon,,took a picture of the sun rising only saw the dot to the right of tge photo. zoomed in and this is what I saw
7/9/2022,17:15,Salford,Greater Manchester,,Metallic disc spotted below heavy clouds
5/9/2022,05:00,WadebridgeCornwall,,,Star like objects traveling at speed behind a circular shaped cloud.
4/9/2022,21:15,Cambridge,Cambridgeshire,,Strange Craft
4/9/2022,02:00,nrMatlock,,,"Behind the house the light was emitting from the clouds like search lights, white and pulsating."
3/9/2022,23:28,dunstable,Bedfordshire,,look bright like a star but moved across sky
3/9/2022,20:36,Manchester,Greater Manchester,,UFO no doubt about it
2/9/2022,21:45,Cardiff,Glamorgan,,"Was low in the sky, but passed me overhead"
1/9/2022,21:00,Sunderland,Tyne & Wear,,2 orange circle aircraft’s
1/9/2022,19:51,Dudley,West Midlands,,"Saw it just stationary absolutely piecing white light, my son ran to get my phone"
30/8/2022,05:10,Worthing,West Sussex,,A string of waving lights moving south east silent with a jet following a couple of miles behind the formation of lights
28/8/2022,10:30,Witham,Essex,,Looked like a star during the day.
25/8/2022,22:25,Farnham,Surrey,,I looked up and saw a round object with flashing lights travelling very slowly
25/8/2022,21:50,Manchester,Greater Manchester,,"2 objects appeared very low ,there was a gap between them ,objects moved in zigzag direction"
25/8/2022,18:30,Belfast,Northern Ireland,,These are on google maps
24/8/2022,21:10,Bedworth,Warwickshire,,Bright light that dropped then rose up a bit and shot off
23/8/2022,15:00,Worsley,,,Taking photos of sky saw it afterwards
18/8/2022,07:23,fraserburgh,Aberdeenshire,,i seen it for a second and then i tried to take another photo but it was gone
17/8/2022,22:05,Waterlooville,Hampshire,,A shape making sharp turns and emitting we think EM radiation.
16/8/2022,22:30,Enfield,Middlesex,,12 lights all flashing on and off red and green in a grid shape
16/8/2022,22:03,Wakefield,West Yorkshire,,LARGE White with mid glow cigar/rugby ball shape
15/8/2022,21:02,Canterbury,Kent,,Large orange orb gliding above sea level
14/8/2022,01:48,Highbridge,Somerset,,"Seen a few meteorites then a string of chevron shaped lights appeared, had enough time to to get phone and photograph"
13/8/2022,22:11,Hertford,Hertfordshire,,"Noticed small white dot that illuminated for a few seconds, this was followed by a further 40"
13/8/2022,01:30,HighShincliffe,,,I just want to be able to supply this information that is very serious to the correct people
12/8/2022,13:30,Crawley,West Sussex,,"I looked up to see a plane, corner of my eye was an object that looked like it was following it. Soon disappeared out of thin air"
11/8/2022,21:30,WestMolesey,,,Bright white light silently moving East to West at impossible speed back at least 6 times over 30 minute period.
11/8/2022,20:59,Leicester,Leicestershire,,Unexplainable bright object in sky
11/8/2022,20:57,Newcastle-Under-Lyme,,,A moving/hovering light appeared and then disappeared whilst observing
9/8/2022,23:30,Londoneast,,,Pulsating light that changed colour
9/8/2022,22:22,PenningtonlymingtonHampshire,,,while walking the dog we saw a triangle craft a took a video
8/8/2022,21:18,QuintadoLago,,,It looked like a sci fi ship.
8/8/2022,15:37,Cardiff,Glamorgan,,"Bright shape moving very slowly from north to south,"
8/8/2022,13:55,Woodley,,,The craft appeared to be a high level balloon but moved in a triangular section obviously powered .
8/8/2022,10:22,Westmidlands,,,I sighted 3 objects traveling in line high in the atmosphere.
7/8/2022,00:11,Waterlooville,Hampshire,,4 different circles making 90 degree turns that were in a pattern but not coordinated with a weird green white glow.
6/8/2022,21:35,Warminster,Wiltshire,,Saw two circle shaped lights flying in sync for 30 minutes
5/8/2022,23:06,Liverpool,Merseyside,,The short event I recorded shows an unexplained light moving unnaturally
1/8/2022,04:00,ThameOxfordshire,,,I saw a oblong craft that was dark in colour it had orange / yellow light around its lower to centre edge moving in a 45% assent at a s
30/7/2022,01:30,Treknow,,,"Bright Orb, moving very slowly, changed course left in a smooth like fashion, doubled back on itself quickly, light remained but dimmed"
29/7/2022,23:00,Ipswich,Suffolk,,2 lights round crossing each other turning fast
28/7/2022,22:30,SouthShields,,,We watched glowing oval shape object fly past us
26/7/2022,23:15,UskMonmouthshiresouthwales,,,Multiple sightings within ten minutes
26/7/2022,18:03,Leicester,Leicestershire,,The two UFOs stayed still in the sky and flew away.
25/7/2022,22:25,,,,We saw an intense white light like a star moving down in the sky for 30 seconds then disappeared then appeared again after ten seconds
25/7/2022,20:22,Epsom,Surrey,,Several craft flying over.
24/7/2022,19:02,Tockenham,,,Small silver ball
23/7/2022,18:35,Chelmsfordessex,,,It was pretty strange. Just a black circle in the sky for 10 minutes
23/7/2022,18:00,bournemouth,Dorset,,The object looked like a batman shaped. It caught my attention since it was swirling and swinging very easily in the sky.
22/7/2022,00:45,Abingdon,Oxfordshire,,"Saw bright light moving rapidly and changing direction in the sky. Took video of it, it was an orb that was spinning at high speed."
19/7/2022,00:00,Stafford,Staffordshire,,Spherical light descending from a high altitude.
18/7/2022,23:51,,,,Bright orb flying towards the east.
16/7/2022,18:49,Rugby,Warwickshire,,"Light oval/tictac shape metallic looking. High up, hovering and doing strange movements. I have a video"
16/7/2022,12:00,Tayportfife,,,Tic tac darting about sky
15/7/2022,13:23,Scunthorpe,North Lincolnshire,,2 circular objects flying West to East above park farm industrial estate in scunthorpe
14/7/2022,18:11,Skelmersdale,Lancashire,,"We sat in a hut having a smoke and chat, I suddenly stopped and said look at that!"
14/7/2022,02:17,Merthyr Tydfil,Mid Glamorgan,,"It looked like a star, but the stars don't shine that hard"
14/7/2022,00:55,Manchester,Greater Manchester,,Back garden look up and saw bright light
13/7/2022,23:04,Stirling,Stirlingshire,,"2 Lights hovering, moving after short period"
13/7/2022,01:20,ChaddertonOldham,,,Two vids showing swirling bright bird like image and light pulses on lawn
12/7/2022,20:00,Maidstone,Kent,,Saw two spheres one behind.
11/7/2022,03:07,Earlsfield,,,Wobbly white disc flying low to the ground went over the river and Continued going
11/7/2022,02:23,Washington,Tyne ? Wear,,I checked the flight radar application and there wasn't an aircraft where this object was.
11/7/2022,00:48,Blackpool,Lancashire,,2 UFO flying weirdly over Irish Sea in strange manoeuvre disappearing and reappearing
10/7/2022,15:44,Newcastle upon Tyne,Tyne & Wear,,UAP FOOTAGE FROM ENGLAND
10/7/2022,01:34,Reading,Berkshire,,Outside my home
9/7/2022,09:20,ChelstonHeath,,,Triangle shape in the sky. The sun hit its surface which caused a flash as looked metallic.
7/7/2022,17:45,Greenford,Middlesex,,Spherical light changing from bright to dull.
7/7/2022,02:15,Stirling,Stirlingshire,,Small bright dot hovering in an unusual way with green aura being emitted and changing in size
3/7/2022,21:45,Bishopsstortford,,,Amazing formation turning sharply
3/7/2022,21:43,Bishopsstortford,,,Driving home saw 4 fast moving bright lights
2/7/2022,04:13,trowbridge,Wiltshire,,It was so massive I could not belive what I was seeing this was no way a man made object doing what it was doing
1/7/2022,23:00,Peterchurch,,,Couple of odd white starlike objects
29/6/2022,22:56,Manchester,Greater Manchester,,Whilst having a cigarette in the garden we noticed 3 lights moving in the sky so got my phone out and started videoing.
25/6/2022,15:30,Lowertean,,,Oval at high altitude
21/6/2022,15:15,Norwich,Norfolk,,These objects were identified in the photos after I got home from a walk
20/6/2022,23:35,Burtonontrent,,,Looked light stars but moving fast
18/6/2022,23:45,Nantwich,Cheshire,,"Colours changing. Bright in sky. Turquoise,red white,,yellow,green"
17/6/2022,22:19,,,,"Less than a second flash of light, so quick (over in less than a second) light up the whole sky white, and afterwards three green orbs."
16/6/2022,09:05,London,Greater London,,Oval object with multiple flashing lights displaying unusual flight pattern and an ability to hover motionlessly
7/6/2022,21:03,Cambridge,Cambridgeshire,,I was taking photos of the sky when i noticed a an object brighter than a star moving across the sky and changing directions.
6/6/2022,00:21,Poole,Dorset,,Same star like light flying through sky
5/6/2022,23:30,Poole,Dorset,,Light that looked exactly like a star flying through the sky
5/6/2022,19:42,Nottingham,Nottinghamshire,,Weirdly rotating disk object flying through sky.
3/6/2022,05:00,Castleford,,,Object caught in photo
2/6/2022,23:30,Romsey,Hampshire,,4 circle white lights were circling in the sky
24/5/2022,22:37,Stansted Airport,Essex,,"dark black triangle shape about the size of a football field, no lights"
20/5/2022,21:35,Crowthorne,,,A bright light chased and overtook the ISS then quickly disappeared
19/5/2022,14:30,Charlton,,,"Red and White unidentified ufo.But I,m defo sure there were more hiding in the clouds"
18/5/2022,01:02,Birmingham,West Midlands,,Large object floating away from the moon
14/5/2022,19:27,Chesterfield,Derbyshire,,"Clear sky, object moving rapidly in multiple directions appeared large but somewhat smaller when video taken."
14/5/2022,14:23,Chatham,Kent,,Day time shining and dimming craft in the sky with others flying
12/5/2022,06:30,Whittlesey,,,A moving orb which went into the sky and then towards us . It never followed a straight path and moved in several directions .
12/5/2022,00:38,Liverpool,Merseyside,,Bright ++ white light flying in a downwards direction then disappeared after approx 4 seconds.
8/5/2022,14:00,,,,I have video of the craft and I don’t know how to share this with the correct agency
7/5/2022,20:15,Cranleigh,Surrey,,There for to 2 seconds moved 2 inches then dissappeared
30/4/2022,00:07,Stockport,Greater Manchester,,"Very Slow Moving to a halt, Moving from East to West"
30/4/2022,00:06,Knaresborough,,,Very bright light with a haze around it.
29/4/2022,23:05,Bristol,Somerset,,"Clear sky,both passed out of sight within seconds"
22/4/2022,20:45,Bournemouth,Dorset,,Just looked up and there they were 2 craft
21/4/2022,20:47,Fareham,Hampshire,,There was a white round cloud and a bright light behind it moving at the same speed and distance.
21/4/2022,20:46,Lewes,East Sussex,,We saw what looked like a moving cloud in a cloudless sky then a moving light appeared next to it and moved smoothly across the sky
21/4/2022,20:23,Norwich,Norfolk,,Ball of Light pushing a cloud?
20/4/2022,16:00,Market Harborough,Leicestershire,,"Cylindrical TicTac object at distance.Its size must have been very large, very bright white, so much so & stood out against the cloud"
12/4/2022,20:00,Stoke-on-Trent,Staffordshire,,A vertical thin bright light and ufos coming out of nowhere
10/4/2022,20:00,Thornbury,,,"son photos the moon, catches ufo"
9/4/2022,20:30,Gravesend,Kent,,Fast Moving light in the shape and size of a star
9/4/2022,19:46,Liverpool,Merseyside,,Flew overhead leaving a trail; then stopped at a fair distance away and stayed stationary in the air
27/3/2022,20:55,LONDON,Greater London,,Pulsating / morphing/ light changing object
26/3/2022,21:30,Stafford,Staffordshire,,I parked on carpark facing my property and on the sky was a strange flashing object moving across the sky. I immediately grabbed my pho
26/3/2022,20:45,Swadlincote,Derbyshire,,Bright object West to East. Clear sky went vertical roughly at 20.23
26/3/2022,20:05,Maidenhead,Berkshire,,Light travelled across the sky high up and there was no flashing lights like you would expect to see on an aeroplane.
25/3/2022,19:52,Aberdeen,Aberdeenshire,,Seen looking south from postcode AB123PU
25/3/2022,19:00,Sheffield,South Yorkshire,,Regular sightings around our house
24/3/2022,17:30,Charlton,,,"It looked like the largest Blue Blob of shooting Stars I,ve ever seen in my life.it went down I could see where behind Houses."
20/3/2022,14:10,Llandudno,Gwynedd,,Something bright in the sky.
19/3/2022,10:10,,,,Sphere with reflective rectangles on floating past/below airplane as I flew from England to Scotland
18/3/2022,23:02,VillageofChawton,,,sighting of a very bizarre looking object in night sky near my home
10/3/2022,23:15,mexbourough,,,i went into garden and it was there
7/3/2022,18:26,Cardiff,Glamorgan,,Fairly large White circle/ball rising through the air but occasionally levelling out to go straight
7/3/2022,04:00,llanddudno,,,stagnent orange ball of light that went from small to big
6/3/2022,18:45,Bristol,Avon,,I saw a low small white very bright light moving across a clear sky for a few seconds it then appeared to flash and totally disappear
5/3/2022,22:55,Brecon,Dyfed,,Not sure what to put in this bit.
3/3/2022,22:45,Birmingham,West Midlands,,"It flew by landed and i watched it stay there for like 5 minutes then it flew of but left something on the floor, some kind of gun"
2/3/2022,22:19,West Bromwich,West Midlands,,I seen it land for like 5 min then go but when i went over and seen something on floor and took it back home its like a very wired gun
26/2/2022,05:40,BAUNTON,,,Looked like a satellite initially
25/2/2022,19:28,Sunderland.HoughtonleSpring,,,Got 1 min of footage. But event was about 3. Thing moved too fast and performed maneuvers that defy physics.
22/2/2022,17:44,LancasterLancashire,,,Wierd line sort of shape
14/2/2022,18:00,Bristol,Avon,,2 sets of white claws forming a cirular shape that rotated fast and colapsed into nothing.
10/2/2022,16:34,Aylesbury,Buckinghamshire,,Flashing sphere spotted in the sky
5/2/2022,22:07,Cardiff,South Glamorgan,,"Two light sources, moving slowly, winked out within a second of one another"
4/2/2022,05:00,Charlton,,,The 2 Green and Red Orbs that came out of the big white Orb flew from left to right in a straight line back and forth
31/1/2022,21:30,Winsford,Cheshire,,Bright light moving
31/1/2022,06:55,Derby,Derbyshire,,Caught on camera
26/1/2022,06:15,Shirebrook,,,"This is the second time I’ve seen this. It’s a low hovering sphere of orange light. Quite big, too big to be a drone. It just hovered."
16/1/2022,18:00,Cleethorpes,South Humberside,,It's like nothing I have ever seen
14/1/2022,01:04,MiltonKeynes,,,"Triangle shape, with bright flashing lights (green and blue).it was darting left and right with fast movement diagonally."
8/1/2022,19:07,Northampton,Northamptonshire,,I saw two separate sightings of golden circular fluorescent lights in the sky.
6/1/2022,19:19,Cowes,,,Watching Cowes live cam and we saw a light flashing erratically then a ball flashes from right to left of screen then bounces back .
5/1/2022,18:00,Aberdeen,Aberdeenshire,,I saw a stationery white and blue light and took photos of it. It would light up for about 5 secs then blink out. Lasted about 20 mins.
3/1/2022,02:00,SouthBrent,,,I was sitting up in bed on the upper floor of my house
1/1/2022,01:00,Rugby,Warwickshire,,"2022 New Years ufo sighting UK, @1am NY day caught on phone."
1/1/2022,00:05,Flitwick,,,"It’s not a very clear film. Lights in the sky, some stationary, and some moving at speed."
1/1/2022,00:00,EastHam,,,Travelling from SW to NE
30/12/2021,20:39,Waterlooville,,,They just appeared and flew and darted around see video. NUFOC Note: Ground-based advertizing lights? PD))
29/12/2021,23:20,Bradford,West Yorkshire,,Bright glowing ice blue and white lights then fiery orange appeared
21/12/2021,18:30,Edinburgh,Fife,,Craft appeared outside my window.
20/12/2021,18:45,Studley,,,"I pointed to my husband, we seen it flew circles then it flew in same direction we were driving"
15/12/2021,00:45,Warrington,Cheshire,,Silent craft flew overhead at extremely high speed. Craft seemed to be made of light or was glowing brightly.
29/11/2021,09:30,London,Greater London,,Pale blue/green rectangle with 8 lights
22/11/2021,02:30,BemptonBridlington,,,A great experience
21/11/2021,10:49,Fleetwood,Lancashire,,Metallic sphere caught on my phone and discovered later that day .
11/11/2021,23:55,Gloucestershire,,,I was woken by a missed call at 11 29 last night lay in bed awake and saw a red saucer shape with surrounding light looked like the pla
11/11/2021,21:05,Southampton,Hampshire,,Flashing behind clouds and cilindric flying object
10/11/2021,11:45,Ashford,Kent,,I don’t know what this was
30/10/2021,21:35,Dunbartionshire,,,My son seen it first and asked me what it was in the sky and I looked up and saw a triangle craft with a light at each corner and flew
30/10/2021,21:30,LochLomond,,,Triangle craft 100 feet above us
19/10/2021,15:19,Rochester,Kent,,Caught on camera. Caught on camera. ((NUFORC Note: Bird in flight. PD))
19/10/2021,05:30,,,,Orange orb firstly sighted around 100ft in the air in the next field causing interruptions with phone light. Orb then moved to ground.
10/10/2021,23:02,Sale,,,Came out and noticed a bright light. Took our phone to zoom in and noticed it moving very fast and also moving up and down.
6/10/2021,11:52,Keswick,Cumbria,,"RAF were flying down the Borrowdale Valley, I took a photo and then later spotted another aircraft flying much higher in the sky."
4/10/2021,18:00,Lambtonwashington,,,"Flashing back and forth , then reappeared as a stationary side cone shape for 2 hours or so, then disapeared"
1/10/2021,05:40,Stanlow,,,At between 5.30 and 5.40am i was driving from chester on the M53 motorway in the u.k heading towards junction 5 Eastham. I noticed a br
26/9/2021,15:00,WattstownRhonddaValleys,,,I had seen it in the corner of my eye at about 1.30 as I was leaving town. I got back about 3pm and went straight to where I saw it.
23/9/2021,22:08,GlasEilean,,,Changing Yellow/Green/Red lights with fast changing direction fast in silence
7/9/2021,15:00,Liverpool,Merseyside,,"Vertical cylinder, slow moving but caught sunlight reflects a couple of times which is what made me look up.was travelling in a south t"
29/8/2021,23:30,Essex,,,A very bright light that moved behind a “cloud” and flew off very quickly.
28/8/2021,21:12,Alton,Hampshire,,"two blue/purple lighted craft flying next to/and near to each other in night sky at moderate speed towards the town of alton,hampshire"
22/8/2021,21:55,Chelmsford,Essex,,Light moving across sky
19/8/2021,16:46,WellsnexttheSea,,,brother in law likes to take photos of clouds and whilst doing this noticed an extremely fast moving object go
10/8/2021,10:50,Margaret,,,The object was rotating in it self and changing shapes(round). Shining polygon.
29/7/2021,16:45,Horsham(UK/England,,,"Daytime small glinting orbs flying in formation in Horsham, UK"
17/7/2021,02:00,Bognor Regis,West Sussex,,"video footage taken at 0200hrs whilst ´ghost hunting´, too dark to capture surroundings. UFO acted intelligent and interested in us."
13/7/2021,18:00,,,,The biggest spacecraft maybe mothership
12/7/2021,15:04,Scunthorpe,North Lincolnshire,,Unaware at time but caught on camera
30/6/2021,21:24,Felpham/BognorRegis,,,My husband and I were on the beach at Felpham West Sussex and noticed a light appearing and disappearing in different spots.It was cons
5/6/2021,07:30,Rainhill,,,Brushed aluminium silver solid metallic sphere dropped from the sky and crossed directly overhead.
17/5/2021,01:23,East Kilbride,South Lanarkshire,,Lights
17/5/2021,01:09,Wishaw,Lanarkshire,,Three objects seemingly hovering in the sky join together and dissappear
10/4/2021,19:00,Merseyside,,,"Mixed silver oval shape, sunlit reflexion centre right hits small cloud cover at speed and doesn't appear again!"
18/3/2021,15:11,HinchleyWood,,,Black Doughnut shaped object seen in the sky.
12/3/2021,05:15,Rugby,Warwickshire,,Strange perfect straight lights that kept formation . ((Starlink satlellites??))
6/3/2021,20:50,Tamworth,Staffordshire,,Three unidentifiable flying objects under control and of considerable dimensions.
1/3/2021,00:00,Northwich,Cheshire,,the speed for this distance
26/2/2021,12:00,Littlehampton,West Sussex,,"Fast moving silver objects, visible through Binoculars only. Heading South over English Channel"
21/2/2021,12:00,Littlehampton,West Sussex,,"Fast moving silver objects, visible through Binoculars only. Heading South over English Channel"
9/2/2021,00:00,Manchester,Greater Manchester,,West ham United vs Manchester United fa cup in extra time 24.57 to 24.59 just up in the corner of the penalty area a white orb appeared
5/2/2021,21:24,Chichester,West Sussex,,"Extremely bright white object, with faint green and red lights also. Was extremely fast and was so bright it was hard to focus on it."
3/2/2021,06:15,Derby,Derbyshire,,Disappearing line of Star-Like Objects. ((Starlink satellites??))
23/1/2021,01:16,Leeds,West Yorkshire,,Red & white spherical triangular shape object
31/12/2020,20:00,dunstable,Bedfordshire,,lights seen in clouds asked them to unclock messing around but some crafts showed them self
31/12/2020,09:09,Glasgow,Lanarkshire,,Saw a spaceship like aircraft hovering in the sky with green and blue lights
25/12/2020,12:30,Wolverhampton,West Midlands,,I was driving down newhampton road with my daughter when we seen a basketball size metallic ball floating in the sky about 50ft high. W
24/12/2020,19:36,Glamis,,,Elliptical light in thick cloud continuously going round
20/12/2020,17:25,Maidenhead,Berkshire,,Line formation of stars moving west-east in the sky
26/11/2020,21:00,London,Greater London,,"I was looking at the stars as I smoked a cigarette and saw a strange flash of light. It wasn’t coming down like a shooting star, it was"
23/11/2020,17:00,Norwich,Norfolk,,At 17:00 North in the sky over Norwich UK i witnessed 2 extremely bright orb lights White in colour which looked like they were joined
23/10/2020,06:18,Ash,,,Line of White Lights Moving from West to East
19/10/2020,06:15,Whitby,North Yorkshire,,UFO's on the march. ((Starlink satellites?))
17/10/2020,10:00,Newton-in-Cartmel,,,Whilst driving north on A590 my wife and I observed in distance an egg shaped irregular object apparently still in the air which we est
5/10/2020,21:00,Malvern,Worcestershire,,Unexplainable rotating light pattern effect in the low cloud at night and strange loud humming sound
1/10/2020,06:30,Aberdeen,Aberdeenshire,,I was driving to work this morning and i noticed what i thought was a plane in the sky coming into land as it was very low but as i loo
27/9/2020,21:00,Waen-wen,,,Bright light in night sky that stopped above us before rapidly changing direction
27/9/2020,00:00,Brighton,East Sussex,,Stunning interdimensional craft with ET's inside
20/9/2020,04:00,UK/England),,,"At 4-5am Unexplained series of 20 + feint lights, in line, very high in the sky moving very fast."
8/9/2020,03:50,Telford,Shropshire,,Heavy landing. .Extremly bright white light.. No sound. Lifted singly off the ground. Strong pulse on leave that affected my printer.
30/8/2020,21:51,NewcastleuponTyne,,,recorded on ring door bell camera
20/8/2020,01:50,Ilkeston,Derbyshire,,Triangle hovered past my house
18/8/2020,02:30,Brighton,East Sussex,,4 x bright lights moving in line slowly across the hills. After approx 1 minute 2 of the lights moved forward then back behind instantl
15/8/2020,09:14,Dymchurch,,,I was recording the clouds during a thunderstorm and noticed an object moving erratically.
12/8/2020,22:00,East Kilbride,Lanarkshire,,Disk shaped object that was hovering behind the trees on the golfcourse only a few feet above the ground.
11/8/2020,23:34,Liverpool,Merseyside,,"Dog walking, watching lightning.... no thunder sound and photographed a UFO"
11/8/2020,22:36,AltonHampshire,,,two stationery circular red lights in the sky flashing on/off before slowly moving away and out of sight.
