Date and Time Reported,Date nuforc,Time norc,City,City2,county norc,occupation,Summary
08/16/2022 22:30,16/8/2022,22:30,Enfield,Enfield,Middlesex,,12 lights all flashing on and off red and green in a grid shape
08/16/2022 22:03,16/8/2022,22:03,Wakefield,Wakefield,West Yorkshire,,LARGE White with mid glow cigar/rugby ball shape
08/15/2022 21:02,15/8/2022,21:02,Canterbury (Reculver Towers),Canterbury ,#N/A,,Large orange orb gliding above sea level
08/14/2022 01:48,14/8/2022,01:48,Highbridge,Highbridge,Somerset,,"Seen a few meteorites then a string of chevron shaped lights appeared, had enough time to to get phone and photograph"
08/13/2022 22:11,13/8/2022,22:11,Hertford,Hertford,Hertfordshire,,"Noticed small white dot that illuminated for a few seconds, this was followed by a further 40"
08/13/2022 01:30,13/8/2022,01:30,High Shincliffe,High Shincliffe,#N/A,,I just want to be able to supply this information that is very serious to the correct people
08/12/2022 13:30,12/8/2022,13:30,Crawley,Crawley,West Sussex,,"I looked up to see a plane, corner of my eye was an object that looked like it was following it. Soon disappeared out of thin air"
08/11/2022 21:30,11/8/2022,21:30,West Molesey,West Molesey,#N/A,,Bright white light silently moving East to West at impossible speed back at least 6 times over 30 minute period.
08/11/2022 20:59,11/8/2022,20:59,Leicester,Leicester,Leicestershire,,Unexplainable bright object in sky
08/11/2022 20:57,11/8/2022,20:57,Newcastle-Under-Lyme,Newcastle-Under-Lyme,#N/A,,A moving/hovering light appeared and then disappeared whilst observing
08/09/2022 23:30,9/8/2022,23:30,London east,London east,#N/A,,Pulsating light that changed colour
08/09/2022 22:22,9/8/2022,22:22,Pennington lymington Hampshire,Pennington lymington Hampshire,#N/A,,while walking the dog we saw a triangle craft a took a video
08/08/2022 21:18,8/8/2022,21:18,Quinta do Lago (not major city),Quinta do Lago ,#N/A,,It looked like a sci fi ship.
08/08/2022 15:37,8/8/2022,15:37,Cardiff,Cardiff,Glamorgan,,"Bright shape moving very slowly from north to south,"
08/08/2022 13:55,8/8/2022,13:55,Woodley,Woodley,#N/A,,The craft appeared to be a high level balloon but moved in a triangular section obviously powered .
08/08/2022 10:22,8/8/2022,10:22,West midlands,West midlands,#N/A,,I sighted 3 objects traveling in line high in the atmosphere.
08/07/2022 00:11,7/8/2022,00:11,Waterlooville,Waterlooville,Hampshire,,4 different circles making 90 degree turns that were in a pattern but not coordinated with a weird green white glow.
08/06/2022 21:35,6/8/2022,21:35,Warminster,Warminster,Wiltshire,,Saw two circle shaped lights flying in sync for 30 minutes
08/05/2022 23:06,5/8/2022,23:06,Liverpool,Liverpool,Merseyside,,The short event I recorded shows an unexplained light moving unnaturally
08/01/2022 04:00,1/8/2022,04:00,Thame Oxfordshire,Thame Oxfordshire,#N/A,,I saw a oblong craft that was dark in colour it had orange / yellow light around its lower to centre edge moving in a 45% assent at a s
07/30/2022 01:30,30/7/2022,01:30,Treknow,Treknow,#N/A,,"Bright Orb, moving very slowly, changed course left in a smooth like fashion, doubled back on itself quickly, light remained but dimmed"
07/29/2022 23:00,29/7/2022,23:00,Ipswich,Ipswich,Suffolk,,2 lights round crossing each other turning fast
07/28/2022 22:30,28/7/2022,22:30,South Shields,South Shields,#N/A,,We watched glowing oval shape object fly past us
07/26/2022 23:15,26/7/2022,23:15,Usk Monmouthshire south wales,Usk Monmouthshire south wales,#N/A,,Multiple sightings within ten minutes
07/26/2022 18:03,26/7/2022,18:03,Leicester,Leicester,Leicestershire,,The two UFOs stayed still in the sky and flew away.
07/25/2022 22:25,25/7/2022,22:25,,,#N/A,,We saw an intense white light like a star moving down in the sky for 30 seconds then disappeared then appeared again after ten seconds
07/25/2022 20:22,25/7/2022,20:22,Epsom,Epsom,Surrey,,Several craft flying over.
07/24/2022 19:02,24/7/2022,19:02,Tockenham,Tockenham,#N/A,,Small silver ball
07/23/2022 18:35,23/7/2022,18:35,Chelmsford essex,Chelmsford essex,#N/A,,It was pretty strange. Just a black circle in the sky for 10 minutes
07/23/2022 18:00,23/7/2022,18:00,bournemouth,bournemouth,Dorset,,The object looked like a batman shaped. It caught my attention since it was swirling and swinging very easily in the sky.
07/22/2022 00:45,22/7/2022,00:45,Abingdon,Abingdon,Oxfordshire,,"Saw bright light moving rapidly and changing direction in the sky. Took video of it, it was an orb that was spinning at high speed."
07/19/2022 00:00,19/7/2022,00:00,Stafford,Stafford,Staffordshire,,Spherical light descending from a high altitude.
07/18/2022 23:51,18/7/2022,23:51,,,#N/A,,Bright orb flying towards the east.
07/16/2022 18:49,16/7/2022,18:49,Rugby,Rugby,Warwickshire,,"Light oval/tictac shape metallic looking. High up, hovering and doing strange movements. I have a video"
07/16/2022 12:00,16/7/2022,12:00,Tayport fife,Tayport fife,#N/A,,Tic tac darting about sky
07/15/2022 13:23,15/7/2022,13:23,Scunthorpe,Scunthorpe,North Lincolnshire,,2 circular objects flying West to East above park farm industrial estate in scunthorpe
07/14/2022 18:11,14/7/2022,18:11,Skelmersdale,Skelmersdale,Lancashire,,"We sat in a hut having a smoke and chat, I suddenly stopped and said look at that!"
07/14/2022 02:17,14/7/2022,02:17,Merthyr Tydfil,Merthyr Tydfil,Mid Glamorgan,,"It looked like a star, but the stars don't shine that hard"
07/14/2022 00:55,14/7/2022,00:55,Manchester,Manchester,Greater Manchester,,Back garden look up and saw bright light
07/13/2022 23:04,13/7/2022,23:04,Stirling,Stirling,Stirlingshire,,"2 Lights hovering, moving after short period"
07/13/2022 01:20,13/7/2022,01:20,Chadderton Oldham,Chadderton Oldham,#N/A,,Two vids showing swirling bright bird like image and light pulses on lawn
07/12/2022 20:00,12/7/2022,20:00,Maidstone,Maidstone,Kent,,Saw two spheres one behind.
07/11/2022 03:07,11/7/2022,03:07,Earlsfield,Earlsfield,#N/A,,Wobbly white disc flying low to the ground went over the river and Continued going
07/11/2022 02:23,11/7/2022,02:23,"Washington, United Kingdom",Washington,Tyne ? Wear,,I checked the flight radar application and there wasn't an aircraft where this object was.
07/11/2022 00:48,11/7/2022,00:48,Blackpool,Blackpool,Lancashire,,2 UFO flying weirdly over Irish Sea in strange manoeuvre disappearing and reappearing
07/10/2022 15:44,10/7/2022,15:44,Newcastle upon Tyne,Newcastle upon Tyne,Tyne & Wear,,UAP FOOTAGE FROM ENGLAND
07/10/2022 01:34,10/7/2022,01:34,Reading,Reading,Berkshire,,Outside my home
07/09/2022 09:20,9/7/2022,09:20,Chelston Heath,Chelston Heath,#N/A,,Triangle shape in the sky. The sun hit its surface which caused a flash as looked metallic.
07/07/2022 17:45,7/7/2022,17:45,Greenford,Greenford,Middlesex,,Spherical light changing from bright to dull.
07/07/2022 02:15,7/7/2022,02:15,Stirling,Stirling,Stirlingshire,,Small bright dot hovering in an unusual way with green aura being emitted and changing in size
07/03/2022 21:45,3/7/2022,21:45,Bishops stortford,Bishops stortford,#N/A,,Amazing formation turning sharply
07/03/2022 21:43,3/7/2022,21:43,Bishops stortford,Bishops stortford,#N/A,,Driving home saw 4 fast moving bright lights
07/02/2022 04:13,2/7/2022,04:13,trowbridge,trowbridge,Wiltshire,,It was so massive I could not belive what I was seeing this was no way a man made object doing what it was doing
07/01/2022 23:00,1/7/2022,23:00,Peterchurch,Peterchurch,#N/A,,Couple of odd white starlike objects
06/29/2022 22:56,29/6/2022,22:56,Manchester,Manchester,Greater Manchester,,Whilst having a cigarette in the garden we noticed 3 lights moving in the sky so got my phone out and started videoing.
06/25/2022 15:30,25/6/2022,15:30,Lowertean,Lowertean,#N/A,,Oval at high altitude
06/21/2022 15:15,21/6/2022,15:15,Norwich,Norwich,Norfolk,,These objects were identified in the photos after I got home from a walk
06/20/2022 23:35,20/6/2022,23:35,Burton on trent,Burton on trent,#N/A,,Looked light stars but moving fast
06/18/2022 23:45,18/6/2022,23:45,Nantwich,Nantwich,Cheshire,,"Colours changing. Bright in sky. Turquoise,red white,,yellow,green"
06/17/2022 22:19,17/6/2022,22:19,,,#N/A,,"Less than a second flash of light, so quick (over in less than a second) light up the whole sky white, and afterwards three green orbs."
06/16/2022 09:05,16/6/2022,09:05,London,London,Greater London,,Oval object with multiple flashing lights displaying unusual flight pattern and an ability to hover motionlessly
06/07/2022 21:03,7/6/2022,21:03,Cambridge,Cambridge,Cambridgeshire,,I was taking photos of the sky when i noticed a an object brighter than a star moving across the sky and changing directions.
06/06/2022 00:21,6/6/2022,00:21,Poole,Poole,Dorset,,Same star like light flying through sky
06/05/2022 23:30,5/6/2022,23:30,Poole,Poole,Dorset,,Light that looked exactly like a star flying through the sky
06/05/2022 19:42,5/6/2022,19:42,Nottingham,Nottingham,Nottinghamshire,,Weirdly rotating disk object flying through sky.
06/03/2022 05:00,3/6/2022,05:00,Castleford,Castleford,#N/A,,Object caught in photo
06/02/2022 23:30,2/6/2022,23:30,Romsey,Romsey,Hampshire,,4 circle white lights were circling in the sky
05/24/2022 22:37,24/5/2022,22:37,Stansted Airport,Stansted Airport,Essex,,"dark black triangle shape about the size of a football field, no lights"
05/20/2022 21:35,20/5/2022,21:35,"Crowthorne, Berkshire",Crowthorne,#N/A,,A bright light chased and overtook the ISS then quickly disappeared
05/19/2022 14:30,19/5/2022,14:30,Charlton,Charlton,#N/A,,"Red and White unidentified ufo.But I,m defo sure there were more hiding in the clouds"
05/18/2022 01:02,18/5/2022,01:02,Birmingham,Birmingham,West Midlands,,Large object floating away from the moon
05/14/2022 19:27,14/5/2022,19:27,"Chesterfield, England",Chesterfield,Derbyshire,,"Clear sky, object moving rapidly in multiple directions appeared large but somewhat smaller when video taken."
05/14/2022 14:23,14/5/2022,14:23,Chatham,Chatham,Kent,,Day time shining and dimming craft in the sky with others flying
05/12/2022 06:30,12/5/2022,06:30,Whittlesey,Whittlesey,#N/A,,A moving orb which went into the sky and then towards us . It never followed a straight path and moved in several directions .
05/12/2022 00:38,12/5/2022,00:38,Liverpool,Liverpool,Merseyside,,Bright ++ white light flying in a downwards direction then disappeared after approx 4 seconds.
05/08/2022 14:00,8/5/2022,14:00,,,#N/A,,I have video of the craft and I don’t know how to share this with the correct agency
05/07/2022 20:15,7/5/2022,20:15,Cranleigh,Cranleigh,Surrey,,There for to 2 seconds moved 2 inches then dissappeared
04/30/2022 00:07,30/4/2022,00:07,Stockport,Stockport,Greater Manchester,,"Very Slow Moving to a halt, Moving from East to West"
04/30/2022 00:06,30/4/2022,00:06,Knaresborough,Knaresborough,#N/A,,Very bright light with a haze around it.
04/29/2022 23:05,29/4/2022,23:05,Bristol,Bristol,Somerset,,"Clear sky,both passed out of sight within seconds"
04/22/2022 20:45,22/4/2022,20:45,Bournemouth,Bournemouth,Dorset,,Just looked up and there they were 2 craft
04/21/2022 20:47,21/4/2022,20:47,Fareham,Fareham,Hampshire,,There was a white round cloud and a bright light behind it moving at the same speed and distance.
04/21/2022 20:46,21/4/2022,20:46,Lewes,Lewes,East Sussex,,We saw what looked like a moving cloud in a cloudless sky then a moving light appeared next to it and moved smoothly across the sky
04/21/2022 20:23,21/4/2022,20:23,Norwich,Norwich,Norfolk,,Ball of Light pushing a cloud?
04/20/2022 16:00,20/4/2022,16:00,Market Harborough,Market Harborough,Leicestershire,,"Cylindrical TicTac object at distance.Its size must have been very large, very bright white, so much so & stood out against the cloud"
04/12/2022 20:00,12/4/2022,20:00,Stoke-on-Trent,Stoke-on-Trent,Staffordshire,,A vertical thin bright light and ufos coming out of nowhere
04/10/2022 20:00,10/4/2022,20:00,"Thornbury, Bristol",Thornbury,#N/A,,"son photos the moon, catches ufo"
04/09/2022 20:30,9/4/2022,20:30,Gravesend,Gravesend,Kent,,Fast Moving light in the shape and size of a star
04/09/2022 19:46,9/4/2022,19:46,Liverpool,Liverpool,Merseyside,,Flew overhead leaving a trail; then stopped at a fair distance away and stayed stationary in the air
03/27/2022 20:55,27/3/2022,20:55,LONDON,LONDON,Greater London,,Pulsating / morphing/ light changing object
03/26/2022 21:30,26/3/2022,21:30,Stafford,Stafford,Staffordshire,,I parked on carpark facing my property and on the sky was a strange flashing object moving across the sky. I immediately grabbed my pho
03/26/2022 20:45,26/3/2022,20:45,Swadlincote,Swadlincote,Derbyshire,,Bright object West to East. Clear sky went vertical roughly at 20.23
03/26/2022 20:05,26/3/2022,20:05,Maidenhead,Maidenhead,Berkshire,,Light travelled across the sky high up and there was no flashing lights like you would expect to see on an aeroplane.
03/25/2022 19:52,25/3/2022,19:52,Aberdeen,Aberdeen,Aberdeenshire,,Seen looking south from postcode AB123PU
03/25/2022 19:00,25/3/2022,19:00,Sheffield (UK/England),Sheffield ,#N/A,,Regular sightings around our house
03/24/2022 17:30,24/3/2022,17:30,Charlton (UK/England),Charlton ,#N/A,,"It looked like the largest Blue Blob of shooting Stars I,ve ever seen in my life.it went down I could see where behind Houses."
03/20/2022 14:10,20/3/2022,14:10,Llandudno (UK/Wales),Llandudno ,#N/A,,Something bright in the sky.
03/19/2022 10:10,19/3/2022,10:10,,,#N/A,,Sphere with reflective rectangles on floating past/below airplane as I flew from England to Scotland
03/18/2022 23:02,18/3/2022,23:02,Village of Chawton (Hampshire)(UK/England),Village of Chawton ,#N/A,,sighting of a very bizarre looking object in night sky near my home
03/10/2022 23:15,10/3/2022,23:15,mexbourough,mexbourough,#N/A,,i went into garden and it was there
03/07/2022 18:26,7/3/2022,18:26,Cardiff,Cardiff,Glamorgan,,Fairly large White circle/ball rising through the air but occasionally levelling out to go straight
03/07/2022 04:00,7/3/2022,04:00,llanddudno,llanddudno,#N/A,,stagnent orange ball of light that went from small to big
03/06/2022 18:45,6/3/2022,18:45,Bristol (UK/England),Bristol ,#N/A,,I saw a low small white very bright light moving across a clear sky for a few seconds it then appeared to flash and totally disappear
03/05/2022 22:55,5/3/2022,22:55,Brecon,Brecon,Dyfed,,Not sure what to put in this bit.
03/03/2022 22:45,3/3/2022,22:45,Birmingham,Birmingham,West Midlands,,"It flew by landed and i watched it stay there for like 5 minutes then it flew of but left something on the floor, some kind of gun"
03/02/2022 22:19,2/3/2022,22:19,West Bromwich,West Bromwich,West Midlands,,I seen it land for like 5 min then go but when i went over and seen something on floor and took it back home its like a very wired gun
02/26/2022 05:40,26/2/2022,05:40,"BAUNTON, CIRENCESTER",BAUNTON,#N/A,,Looked like a satellite initially
02/25/2022 19:28,25/2/2022,19:28,Sunderland. Houghton le Spring,Sunderland. Houghton le Spring,#N/A,,Got 1 min of footage. But event was about 3. Thing moved too fast and performed maneuvers that defy physics.
02/22/2022 17:44,22/2/2022,17:44,Lancaster Lancashire (UK/England),Lancaster Lancashire ,#N/A,,Wierd line sort of shape
02/14/2022 18:00,14/2/2022,18:00,Bristol (UK/England),Bristol ,#N/A,,2 sets of white claws forming a cirular shape that rotated fast and colapsed into nothing.
02/10/2022 16:34,10/2/2022,16:34,Aylesbury,Aylesbury,Buckinghamshire,,Flashing sphere spotted in the sky
02/05/2022 22:07,5/2/2022,22:07,Cardiff (UK/Wales),Cardiff ,#N/A,,"Two light sources, moving slowly, winked out within a second of one another"
02/04/2022 05:00,4/2/2022,05:00,Charlton (UK/England),Charlton ,#N/A,,The 2 Green and Red Orbs that came out of the big white Orb flew from left to right in a straight line back and forth
01/31/2022 21:30,31/1/2022,21:30,Winsford,Winsford,Cheshire,,Bright light moving
01/31/2022 06:55,31/1/2022,06:55,Derby (UK/England),Derby ,#N/A,,Caught on camera
01/26/2022 06:15,26/1/2022,06:15,Shirebrook (UK/England),Shirebrook ,#N/A,,"This is the second time I’ve seen this. It’s a low hovering sphere of orange light. Quite big, too big to be a drone. It just hovered."
01/16/2022 18:00,16/1/2022,18:00,Cleethorpes (UK/England),Cleethorpes ,#N/A,,It's like nothing I have ever seen
01/14/2022 01:04,14/1/2022,01:04,Milton Keynes (UK/England),Milton Keynes ,#N/A,,"Triangle shape, with bright flashing lights (green and blue).it was darting left and right with fast movement diagonally."
01/08/2022 19:07,8/1/2022,19:07,Northampton,Northampton,Northamptonshire,,I saw two separate sightings of golden circular fluorescent lights in the sky.
01/06/2022 19:19,6/1/2022,19:19,Cowes,Cowes,#N/A,,Watching Cowes live cam and we saw a light flashing erratically then a ball flashes from right to left of screen then bounces back .
01/05/2022 18:00,5/1/2022,18:00,Aberdeen,Aberdeen,Aberdeenshire,,I saw a stationery white and blue light and took photos of it. It would light up for about 5 secs then blink out. Lasted about 20 mins.
01/03/2022 02:00,3/1/2022,02:00,"South Brent, Dartmoor National park.",South Brent,#N/A,,I was sitting up in bed on the upper floor of my house
01/01/2022 01:00,1/1/2022,01:00,Rugby,Rugby,Warwickshire,,"2022 New Years ufo sighting UK, @1am NY day caught on phone."
01/01/2022 00:05,1/1/2022,00:05,Flitwick (UK/England),Flitwick ,#N/A,,"It’s not a very clear film. Lights in the sky, some stationary, and some moving at speed."
01/01/2022 00:00,1/1/2022,00:00,"East Ham, London (UK/England)",East Ham,#N/A,,Travelling from SW to NE
12/30/2021 20:39,30/12/2021,20:39,Waterlooville (UK/England),Waterlooville ,#N/A,,They just appeared and flew and darted around see video. NUFOC Note: Ground-based advertizing lights? PD))
12/29/2021 23:20,29/12/2021,23:20,Bradford (UK/England),Bradford ,#N/A,,Bright glowing ice blue and white lights then fiery orange appeared
12/21/2021 18:30,21/12/2021,18:30,Edinburgh,Edinburgh,Fife,,Craft appeared outside my window.
12/20/2021 18:45,20/12/2021,18:45,Studley,Studley,#N/A,,"I pointed to my husband, we seen it flew circles then it flew in same direction we were driving"
12/15/2021 00:45,15/12/2021,00:45,Warrington,Warrington,Cheshire,,Silent craft flew overhead at extremely high speed. Craft seemed to be made of light or was glowing brightly.
11/29/2021 09:30,29/11/2021,09:30,London,London,Greater London,,Pale blue/green rectangle with 8 lights
11/22/2021 02:30,22/11/2021,02:30,Bempton Bridlington,Bempton Bridlington,#N/A,,A great experience
11/21/2021 10:49,21/11/2021,10:49,Fleetwood,Fleetwood,Lancashire,,Metallic sphere caught on my phone and discovered later that day .
11/11/2021 23:55,11/11/2021,23:55,Gloucestershire (UK/England),Gloucestershire ,#N/A,,I was woken by a missed call at 11 29 last night lay in bed awake and saw a red saucer shape with surrounding light looked like the pla
11/11/2021 21:05,11/11/2021,21:05,Southampton,Southampton,Hampshire,,Flashing behind clouds and cilindric flying object
11/10/2021 11:45,10/11/2021,11:45,Ashford (UK/England),Ashford ,#N/A,,I don’t know what this was
10/30/2021 21:35,30/10/2021,21:35,Dunbartionshire (UK/Scotland),Dunbartionshire ,#N/A,,My son seen it first and asked me what it was in the sky and I looked up and saw a triangle craft with a light at each corner and flew
10/30/2021 21:30,30/10/2021,21:30,Loch Lomond (UK/Scotland),Loch Lomond ,#N/A,,Triangle craft 100 feet above us
10/19/2021 15:19,19/10/2021,15:19,Rochester,Rochester,Kent,,Caught on camera. Caught on camera. ((NUFORC Note: Bird in flight. PD))
10/19/2021 05:30,19/10/2021,05:30,,,#N/A,,Orange orb firstly sighted around 100ft in the air in the next field causing interruptions with phone light. Orb then moved to ground.
10/10/2021 23:02,10/10/2021,23:02,Sale,Sale,#N/A,,Came out and noticed a bright light. Took our phone to zoom in and noticed it moving very fast and also moving up and down.
10/06/2021 11:52,6/10/2021,11:52,Keswick,Keswick,Cumbria,,"RAF were flying down the Borrowdale Valley, I took a photo and then later spotted another aircraft flying much higher in the sky."
10/04/2021 18:00,4/10/2021,18:00,Lambton washington,Lambton washington,#N/A,,"Flashing back and forth , then reappeared as a stationary side cone shape for 2 hours or so, then disapeared"
10/01/2021 05:40,1/10/2021,05:40,Stanlow (Wirral) (UK/England),Stanlow  ,#N/A,,At between 5.30 and 5.40am i was driving from chester on the M53 motorway in the u.k heading towards junction 5 Eastham. I noticed a br
09/26/2021 15:00,26/9/2021,15:00,"Wattstown Rhondda Valleys, S.Wales",Wattstown Rhondda Valleys,#N/A,,I had seen it in the corner of my eye at about 1.30 as I was leaving town. I got back about 3pm and went straight to where I saw it.
09/23/2021 22:08,23/9/2021,22:08,Glas Eilean,Glas Eilean,#N/A,,Changing Yellow/Green/Red lights with fast changing direction fast in silence
09/07/2021 15:00,7/9/2021,15:00,Liverpool (UK/England),Liverpool ,#N/A,,"Vertical cylinder, slow moving but caught sunlight reflects a couple of times which is what made me look up.was travelling in a south t"
08/29/2021 23:30,29/8/2021,23:30,Essex (UK/England),Essex ,#N/A,,A very bright light that moved behind a “cloud” and flew off very quickly.
08/28/2021 21:12,28/8/2021,21:12,Alton (Hampshire)(UK/England),Alton ,#N/A,,"two blue/purple lighted craft flying next to/and near to each other in night sky at moderate speed towards the town of alton,hampshire"
08/22/2021 21:55,22/8/2021,21:55,Chelmsford,Chelmsford,Essex,,Light moving across sky
08/19/2021 16:46,19/8/2021,16:46,Wells next the Sea,Wells next the Sea,#N/A,,brother in law likes to take photos of clouds and whilst doing this noticed an extremely fast moving object go
08/10/2021 10:50,10/8/2021,10:50,Margaret (Margate)(UK/England),Margaret ,#N/A,,The object was rotating in it self and changing shapes(round). Shining polygon.
07/29/2021 16:45,29/7/2021,16:45,Horsham (UK/England,Horsham (UK/England,#N/A,,"Daytime small glinting orbs flying in formation in Horsham, UK"
07/17/2021 02:00,17/7/2021,02:00,Bognor Regis,Bognor Regis,West Sussex,,"video footage taken at 0200hrs whilst ´ghost hunting´, too dark to capture surroundings. UFO acted intelligent and interested in us."
07/13/2021 18:00,13/7/2021,18:00,,,#N/A,,The biggest spacecraft maybe mothership
07/12/2021 15:04,12/7/2021,15:04,Scunthorpe,Scunthorpe,North Lincolnshire,,Unaware at time but caught on camera
06/30/2021 21:24,30/6/2021,21:24,Felpham/Bognor Regis (UK/England),Felpham/Bognor Regis ,#N/A,,My husband and I were on the beach at Felpham West Sussex and noticed a light appearing and disappearing in different spots.It was cons
06/05/2021 07:30,5/6/2021,07:30,Rainhill,Rainhill,#N/A,,Brushed aluminium silver solid metallic sphere dropped from the sky and crossed directly overhead.
05/17/2021 01:23,17/5/2021,01:23,"East Kilbride, Glasgow",East Kilbride,South Lanarkshire,,Lights
05/17/2021 01:09,17/5/2021,01:09,Wishaw,Wishaw,Lanarkshire,,Three objects seemingly hovering in the sky join together and dissappear
04/10/2021 19:00,10/4/2021,19:00,Merseyside (UK/England),Merseyside ,#N/A,,"Mixed silver oval shape, sunlit reflexion centre right hits small cloud cover at speed and doesn't appear again!"
03/18/2021 15:11,18/3/2021,15:11,Hinchley Wood,Hinchley Wood,#N/A,,Black Doughnut shaped object seen in the sky.
03/12/2021 05:15,12/3/2021,05:15,Rugby (UK/England),Rugby ,#N/A,,Strange perfect straight lights that kept formation . ((Starlink satlellites??))
03/06/2021 20:50,6/3/2021,20:50,Tamworth (UK/England),Tamworth ,#N/A,,Three unidentifiable flying objects under control and of considerable dimensions.
03/01/2021 00:00,1/3/2021,00:00,Northwich (UK/England),Northwich ,#N/A,,the speed for this distance
02/26/2021 12:00,26/2/2021,12:00,Littlehampton,Littlehampton,West Sussex,,"Fast moving silver objects, visible through Binoculars only. Heading South over English Channel"
02/21/2021 12:00,21/2/2021,12:00,Littlehampton (UK/England),Littlehampton ,#N/A,,"Fast moving silver objects, visible through Binoculars only. Heading South over English Channel"
02/09/2021 00:00,9/2/2021,00:00,Manchester (UK/England),Manchester ,#N/A,,West ham United vs Manchester United fa cup in extra time 24.57 to 24.59 just up in the corner of the penalty area a white orb appeared
02/05/2021 21:24,5/2/2021,21:24,Chichester (UK/England),Chichester ,#N/A,,"Extremely bright white object, with faint green and red lights also. Was extremely fast and was so bright it was hard to focus on it."
02/03/2021 06:15,3/2/2021,06:15,Derby (UK/England),Derby ,#N/A,,Disappearing line of Star-Like Objects. ((Starlink satellites??))
01/23/2021 01:16,23/1/2021,01:16,Leeds,Leeds,West Yorkshire,,Red & white spherical triangular shape object
12/31/2020 20:00,31/12/2020,20:00,dunstable,dunstable,Bedfordshire,,lights seen in clouds asked them to unclock messing around but some crafts showed them self
12/31/2020 09:09,31/12/2020,09:09,Glasgow,Glasgow,Lanarkshire,,Saw a spaceship like aircraft hovering in the sky with green and blue lights
12/25/2020 12:30,25/12/2020,12:30,Wolverhampton (UK/England),Wolverhampton ,#N/A,,I was driving down newhampton road with my daughter when we seen a basketball size metallic ball floating in the sky about 50ft high. W
12/24/2020 19:36,24/12/2020,19:36,"Glamis, Scotland",Glamis,#N/A,,Elliptical light in thick cloud continuously going round
12/20/2020 17:25,20/12/2020,17:25,Maidenhead,Maidenhead,Berkshire,,Line formation of stars moving west-east in the sky
11/26/2020 21:00,26/11/2020,21:00,London,London,Greater London,,"I was looking at the stars as I smoked a cigarette and saw a strange flash of light. It wasn’t coming down like a shooting star, it was"
11/23/2020 17:00,23/11/2020,17:00,Norwich,Norwich,Norfolk,,At 17:00 North in the sky over Norwich UK i witnessed 2 extremely bright orb lights White in colour which looked like they were joined
10/23/2020 06:18,23/10/2020,06:18,Ash,Ash,#N/A,,Line of White Lights Moving from West to East
10/19/2020 06:15,19/10/2020,06:15,Whitby (UK/England),Whitby ,#N/A,,UFO's on the march. ((Starlink satellites?))
10/17/2020 10:00,17/10/2020,10:00,Newton-in-Cartmel (UK/England),Newton-in-Cartmel ,#N/A,,Whilst driving north on A590 my wife and I observed in distance an egg shaped irregular object apparently still in the air which we est
10/05/2020 21:00,5/10/2020,21:00,Malvern,Malvern,Worcestershire,,Unexplainable rotating light pattern effect in the low cloud at night and strange loud humming sound
10/01/2020 06:30,1/10/2020,06:30,Aberdeen (UK/Scotland),Aberdeen ,#N/A,,I was driving to work this morning and i noticed what i thought was a plane in the sky coming into land as it was very low but as i loo
09/27/2020 21:00,27/9/2020,21:00,Waen-wen,Waen-wen,#N/A,,Bright light in night sky that stopped above us before rapidly changing direction
09/27/2020 00:00,27/9/2020,00:00,Brighton (UK/England),Brighton ,#N/A,,Stunning interdimensional craft with ET's inside
09/20/2020 04:00,20/9/2020,04:00,UK/England),UK/England),#N/A,,"At 4-5am Unexplained series of 20 + feint lights, in line, very high in the sky moving very fast."
09/08/2020 03:50,8/9/2020,03:50,Telford (UK/England),Telford ,#N/A,,Heavy landing. .Extremly bright white light.. No sound. Lifted singly off the ground. Strong pulse on leave that affected my printer.
08/30/2020 21:51,30/8/2020,21:51,Newcastle upon Tyne (UK/England),Newcastle upon Tyne ,#N/A,,recorded on ring door bell camera
08/20/2020 01:50,20/8/2020,01:50,Ilkeston,Ilkeston,Derbyshire,,Triangle hovered past my house
08/18/2020 02:30,18/8/2020,02:30,Brighton (UK/England),Brighton ,#N/A,,4 x bright lights moving in line slowly across the hills. After approx 1 minute 2 of the lights moved forward then back behind instantl
08/15/2020 09:14,15/8/2020,09:14,Dymchurch,Dymchurch,#N/A,,I was recording the clouds during a thunderstorm and noticed an object moving erratically.
08/12/2020 22:00,12/8/2020,22:00,East Kilbride,East Kilbride,Lanarkshire,,Disk shaped object that was hovering behind the trees on the golfcourse only a few feet above the ground.
08/11/2020 23:34,11/8/2020,23:34,Liverpool (UK/England),Liverpool ,#N/A,,"Dog walking, watching lightning.... no thunder sound and photographed a UFO"
08/11/2020 22:36,11/8/2020,22:36,Alton Hampshire (UK/England),Alton Hampshire ,#N/A,,two stationery circular red lights in the sky flashing on/off before slowly moving away and out of sight.
08/10/2020 23:09,10/8/2020,23:09,Liverpool (UK/England),Liverpool ,#N/A,,I was walking my dog very close to Liverpool john Lennon airport on the 10th of August 2020. I remember it was so strange as there was
08/08/2020 21:05,8/8/2020,21:05,Ashford,Ashford,Middlesex,,Bright white light in sky turning red
08/01/2020 01:00,1/8/2020,01:00,Reading (UK/England),Reading ,#N/A,,"Huge, triangular craft"
07/22/2020 00:10,22/7/2020,00:10,Washington (UK/England),Washington ,#N/A,,"UFO traveling from West to East, Washington,UK."
07/22/2020 00:10,22/7/2020,00:10,Washington,Washington,Tyne ? Wear,,"UFO traveling from West to East, Washington,UK."
